person_id,id,character,role
579344,tm100997,(uncredited),ACTOR
1246228,tm100997,Charwoman (uncredited),ACTOR
1246231,tm100997,(uncredited),ACTOR
1040326,tm100997,Englishman (uncredited),ACTOR
24020,tm100997,Hospital Interne (uncredited),ACTOR
1246264,tm100997,(uncredited),ACTOR
1246267,tm100997,Slim (uncredited),ACTOR
57393,tm100997,Philip's Landlady Agnes Hollett (uncredited),ACTOR
1246269,tm100997,Baby (uncredited),ACTOR
100265,tm100997,Paris Art Teacher Mons. Flourney (uncredited),ACTOR
1246272,tm100997,(uncredited),ACTOR
575312,tm100997,Jimmy Gray (uncredited),ACTOR
959762,tm100997,Girl (uncredited),ACTOR
152866,tm100997,Hawker (uncredited) (voice),ACTOR
103313,tm100997,,DIRECTOR
18603,tm70212,Georges Gibbs,ACTOR
13679,tm70212,Emily Webb,ACTOR
102907,tm70212,Mrs Gibbs,ACTOR
27179,tm70212,Mrs Webb,ACTOR
13301,tm70212,Doc Gibbs,ACTOR
27177,tm70212,Mr. Webb,ACTOR
129609,tm70212,Mr. Morgan,ACTOR
127876,tm70212,Howie Newsome,ACTOR
345592,tm70212,Rebecca Gibbs,ACTOR
125811,tm70212,Mrs. Soames,ACTOR
72826,tm70212,"Dr. Ferguson, the wedding minister",ACTOR
571655,tm70212,Simon Stimson,ACTOR
571657,tm70212,Professor Willard,ACTOR
571656,tm70212,Wally Webb,ACTOR
58274,tm70212,Constable,ACTOR
154065,tm70212,Joe Crowell,ACTOR
571659,tm70212,,ACTOR
345593,tm70212,,ACTOR
571660,tm70212,,ACTOR
